"","Longitude","Latitude","Date","Survey_Type"
"10356","-77.0651803128456","38.9095306393328",2010-01-01,"transect"
"7995","-77.0400895358907","38.9203226465336",2010-01-02,"Transect5"
"8","-77.0184273123085","38.9576575989075",2010-01-07,"transect"
"3858","-77.0160896622816","38.9380228342696",2010-01-07,"transect"
"7509","-77.0433622459283","38.9227475908582",2010-01-09,"transect"
"3197","-77.0179597823031","38.941295672719",2010-01-15,"transect"
"2198","-77.0315181524589","38.946507659118",2010-01-20,"transect"
"1406","-77.0154662889411","38.9497801059081",2010-02-02,"transect"
"5990","-77.0167130356221","38.9292945265564",2010-02-05,"transect"
"2885","-77.0160896622816","38.9426290080371",2010-02-07,"transect"
"3978","-77.0209208056705","38.9375379564666",2010-02-12,"transect"
"6311","-77.0135961689196","38.9279609405097",2010-02-12,"transect"
"299","-77.0106351455523","38.9542643246595",2010-02-13,"transect"
"1447","-77.0081416521903","38.9496589068692",2010-02-15,"transect"
"8715","-77.0519336293601","38.9168063300545",2010-02-15,"transect"
"6970","-77.0315181524589","38.9250512112012",2010-02-16,"transect"
"2301","-77.0319856824643","38.9460228393377",2010-02-17,"transect"
"9782","-77.0541154360518","38.9126835302186",2010-02-20,"Transect5"
"3535","-77.0132844822494","38.9393562311325",2010-02-20,"transect"
"3721","-77.0358817658424","38.9383864904461",2010-02-22,"transect"
"8490","-77.0195182156544","38.9178976193328",2010-02-23,"transect"
"11393","-77.0234142990325","38.9049223161158",2010-02-24,"transect"
"3506","-77.0388427892097","38.9394774477859",2010-02-24,"transect"
"5913","-77.0100117722118","38.9296582274906",2010-02-25,"transect"
"246","-77.0160896622816","38.955112658454",2010-03-02,"transect_2"
"8506","-77.0365051391829","38.9177763657973",2010-03-03,"transect"
"10550","-77.0346350191614","38.9083179517006",2010-03-05,"transect"
"4618","-77.0410245959014","38.9347498447583",2010-03-09,"transect"
"9788","-77.030427249113","38.9126835302186",2010-03-10,"transect"
"4914","-77.0237259857027","38.9334163612794",2010-03-10,"transect"
"6850","-77.0095442422064","38.9256574146491",2010-03-18,"transect"
"6851","-77.0093883988713","38.9256574146491",2010-03-19,"transect"
"10313","-77.035414235837","38.9098944415826",2010-03-19,"transect"
"11150","-77.0686088662184","38.905892514285",2010-03-24,"transect4"
"8232","-77.0502193526737","38.9191101432926",2010-03-26,"transect"
"3736","-77.0159338189465","38.9383864904461",2010-03-29,"transect"
"8818","-77.0539595927167","38.9162000509817",2010-04-05,"transect"
"5745","-77.007674122185","38.9305068557516",2010-04-05,"transect"
"4421","-77.0368168258531","38.9357196351767",2010-04-07,"transect"
